江西电信,#genre#
CCTV-4K超高清,http://114.107.45.107:8188/rtp/238.1.78.137:6968
CCTV-怀旧剧场,http://114.107.45.107:8188/rtp/238.1.79.61:4624
CCTV-风云剧场,http://114.107.45.107:8188/rtp/238.1.79.62:4632
CCTV-第一剧场,http://114.107.45.107:8188/rtp/238.1.79.63:4640
CCTV-电视指南,http://114.107.45.107:8188/rtp/238.1.79.53:4560
CCTV-央视文化精品,http://114.107.45.107:8188/rtp/238.1.79.54:4568

北京卫视,http://114.107.45.107:8188/rtp/238.1.78.162:7168
天津卫视,http://114.107.45.107:8188/rtp/238.1.78.20:6088
湖北卫视,http://114.107.45.107:8188/rtp/238.1.78.168:7216
湖南卫视,http://114.107.45.107:8188/rtp/238.1.78.160:7152
东方卫视,http://114.107.45.107:8188/rtp/238.1.78.163:7176
安徽卫视,http://114.107.45.107:8188/rtp/238.1.78.150:7072
江苏卫视,http://114.107.45.107:8188/rtp/238.1.78.165:7192
浙江卫视,http://114.107.45.107:8188/rtp/238.1.78.164:7184
河北卫视,http://114.107.45.107:8188/rtp/238.1.78.245:7832
河南卫视,http://114.107.45.107:8188/rtp/238.1.79.65:4632
山东卫视,http://114.107.45.107:8188/rtp/238.1.78.169:7224
东南卫视,http://114.107.45.107:8188/rtp/238.1.78.22:6104
四川卫视,http://114.107.45.107:8188/rtp/238.1.78.30:6168
江西卫视,http://114.107.45.107:8188/rtp/238.1.78.26:6136
重庆卫视,http://114.107.45.107:8188/rtp/238.1.78.31:6176
广东卫视,http://114.107.45.107:8188/rtp/238.1.78.161:7160
黑龙江卫视,http://114.107.45.107:8188/rtp/238.1.78.159:7144
吉林卫视,http://114.107.45.107:8188/rtp/238.1.79.48:4496
辽宁卫视,http://114.107.45.107:8188/rtp/238.1.78.21:6096
海南卫视,http://114.107.45.107:8188/rtp/238.1.79.49:4504
深圳卫视,http://114.107.45.107:8188/rtp/238.1.78.156:7120
贵州卫视,http://114.107.45.107:8188/rtp/238.1.78.244:7824
甘肃卫视,http://114.107.45.107:8188/rtp/238.1.79.36:4400
陕西卫视,http://114.107.45.107:8188/rtp/238.1.78.88:6576
云南卫视,http://114.107.45.107:8188/rtp/238.1.78.89:6584
山西卫视,http://114.107.45.107:8188/rtp/238.1.78.95:6632
青海卫视,http://114.107.45.107:8188/rtp/238.1.78.102:6688
广西卫视,http://114.107.45.107:8188/rtp/238.1.78.70:6432
内蒙古卫视,http://114.107.45.107:8188/rtp/238.1.78.103:6696
宁夏卫视,http://114.107.45.107:8188/rtp/238.1.78.109:6744
新疆卫视,http://114.107.45.107:8188/rtp/238.1.78.110:6752
西藏卫视,http://114.107.45.107:8188/rtp/238.1.78.101:6680
兵团卫视,http://114.107.45.107:8188/rtp/238.1.78.104:6704
三沙卫视,http://114.107.45.107:8188/rtp/238.1.78.27:6144
厦门卫视,http://114.107.45.107:8188/rtp/238.1.78.246:7840

央卫,#genre#
CCTV-1综合,http://223.198.240.6:4000/rtp/239.253.64.120:5140
CCTV-2财经,http://223.198.240.6:4000/rtp/239.253.64.195:5140
CCTV-3综艺,http://223.198.240.6:4000/rtp/239.253.64.244:5140
CCTV-4中文国际,http://223.198.240.6:4000/rtp/239.253.64.196:5140
CCTV-5体育,http://223.198.240.6:4000/rtp/239.253.64.245:5140
CCTV-5+体育赛事,http://223.198.240.6:4000/rtp/239.253.64.100:5140
CCTV-6电影,http://223.198.240.6:4000/rtp/239.253.64.246:5140
CCTV-7国防军事,http://223.198.240.6:4000/rtp/239.253.64.54:5140
CCTV-8电视剧,http://223.198.240.6:4000/rtp/239.253.64.247:5140
CCTV-9纪录,http://223.198.240.6:4000/rtp/239.253.64.76:5140
CCTV-10科教,http://223.198.240.6:4000/rtp/239.253.64.87:5140
CCTV-11戏曲,http://223.198.240.6:4000/rtp/239.253.64.70:5140
CCTV-12社会与法,http://223.198.240.6:4000/rtp/239.253.64.97:5140
CCTV-13新闻,http://223.198.240.6:4000/rtp/239.253.64.59:5140
CCTV-14少儿,http://223.198.240.6:4000/rtp/239.253.64.115:5140
CCTV-15音乐,http://223.198.240.6:4000/rtp/239.253.64.72:5140
CCTV-16奥林匹克,http://223.198.240.6:4000/rtp/239.253.64.251:5140
CCTV-16奥林匹克,http://223.198.240.6:4000/rtp/239.253.64.126:5140
CCTV-17农业农村,http://223.198.240.6:4000/rtp/239.253.64.67:5140

CCTV-1综合,http://112.66.71.247:8188/rtp/239.253.64.120:5140
CCTV-2财经,http://112.66.71.247:8188/rtp/239.253.64.195:5140
CCTV-3综艺,http://112.66.71.247:8188/rtp/239.253.64.244:5140
CCTV-4中文国际,http://112.66.71.247:8188/rtp/239.253.64.196:5140
CCTV-5体育,http://112.66.71.247:8188/rtp/239.253.64.245:5140
CCTV-5+体育赛事,http://112.66.71.247:8188/rtp/239.253.64.100:5140
CCTV-6电影,http://112.66.71.247:8188/rtp/239.253.64.246:5140
CCTV-7国防军事,http://112.66.71.247:8188/rtp/239.253.64.54:5140
CCTV-8电视剧,http://112.66.71.247:8188/rtp/239.253.64.247:5140
CCTV-9纪录,http://112.66.71.247:8188/rtp/239.253.64.76:5140
CCTV-10科教,http://112.66.71.247:8188/rtp/239.253.64.87:5140
CCTV-11戏曲,http://112.66.71.247:8188/rtp/239.253.64.70:5140
CCTV-12社会与法,http://112.66.71.247:8188/rtp/239.253.64.97:5140
CCTV-13新闻,http://112.66.71.247:8188/rtp/239.253.64.59:5140
CCTV-14少儿,http://112.66.71.247:8188/rtp/239.253.64.115:5140
CCTV-15音乐,http://112.66.71.247:8188/rtp/239.253.64.72:5140
CCTV-16奥林匹克,http://112.66.71.247:8188/rtp/239.253.64.251:5140
CCTV-16奥林匹克,http://112.66.71.247:8188/rtp/239.253.64.126:5140
CCTV-17农业农村,http://112.66.71.247:8188/rtp/239.253.64.67:5140

海南卫视,http://223.198.240.6:4000/rtp/239.253.64.253:5140
海南卫视,http://112.66.71.247:8188/rtp/239.253.64.253:5140
北京卫视,http://223.198.240.6:4000/rtp/239.253.64.204:5140
东方卫视,http://223.198.240.6:4000/rtp/239.253.64.201:5140
东南卫视,http://223.198.240.6:4000/rtp/239.253.64.66:5140
江苏卫视,http://223.198.240.6:4000/rtp/239.253.64.202:5140
广东卫视,http://223.198.240.6:4000/rtp/239.253.64.200:5140
河北卫视,http://223.198.240.6:4000/rtp/239.253.64.210:5140
贵州卫视,http://223.198.240.6:4000/rtp/239.253.64.197:5140
湖北卫视,http://223.198.240.6:4000/rtp/239.253.64.207:5140
湖南卫视,http://223.198.240.6:4000/rtp/239.253.64.114:5140
山东卫视,http://223.198.240.6:4000/rtp/239.253.64.208:5140
深圳卫视,http://223.198.240.6:4000/rtp/239.253.64.203:5140
天津卫视,http://223.198.240.6:4000/rtp/239.253.64.198:5140
浙江卫视,http://223.198.240.6:4000/rtp/239.253.64.206:5140
重庆卫视,http://223.198.240.6:4000/rtp/239.253.64.55:5140
吉林卫视,http://223.198.240.6:4000/rtp/239.253.64.57:5140
安徽卫视,http://223.198.240.6:4000/rtp/239.253.64.129:5140
黑龙江卫视,http://223.198.240.6:4000/rtp/239.253.64.205:5140
江西卫视,http://223.198.240.6:4000/rtp/239.253.64.56:5140
辽宁卫视,http://223.198.240.6:4000/rtp/239.253.64.150:5140
甘肃卫视,http://223.198.240.6:4000/rtp/239.253.64.140:5140
广西卫视,http://223.198.240.6:4000/rtp/239.253.64.45:5140
河南卫视,http://223.198.240.6:4000/rtp/239.253.64.38:5140
四川卫视,http://223.198.240.6:4000/rtp/239.253.64.36:5140
山西卫视,http://223.198.240.6:4000/rtp/239.253.64.31:5140
陕西卫视,http://223.198.240.6:4000/rtp/239.253.64.37:5140
内蒙古卫视,http://223.198.240.6:4000/rtp/239.253.64.144:5140
宁夏卫视,http://223.198.240.6:4000/rtp/239.253.64.89:5140
青海卫视,http://223.198.240.6:4000/rtp/239.253.64.46:5140
厦门卫视,http://223.198.240.6:4000/rtp/239.253.64.179:5140
西藏卫视,http://223.198.240.6:4000/rtp/239.253.64.143:5140
新疆卫视,http://223.198.240.6:4000/rtp/239.253.64.146:5140
云南卫视,http://223.198.240.6:4000/rtp/239.253.64.147:5140
兵团卫视,http://223.198.240.6:4000/rtp/239.253.64.178:5140

北京卫视,http://112.66.71.247:8188/rtp/239.253.64.204:5140
东方卫视,http://112.66.71.247:8188/rtp/239.253.64.201:5140
东南卫视,http://112.66.71.247:8188/rtp/239.253.64.66:5140
江苏卫视,http://112.66.71.247:8188/rtp/239.253.64.202:5140
广东卫视,http://112.66.71.247:8188/rtp/239.253.64.200:5140
河北卫视,http://112.66.71.247:8188/rtp/239.253.64.210:5140
贵州卫视,http://112.66.71.247:8188/rtp/239.253.64.197:5140
湖北卫视,http://112.66.71.247:8188/rtp/239.253.64.207:5140
湖南卫视,http://112.66.71.247:8188/rtp/239.253.64.114:5140
山东卫视,http://112.66.71.247:8188/rtp/239.253.64.208:5140
深圳卫视,http://112.66.71.247:8188/rtp/239.253.64.203:5140
天津卫视,http://112.66.71.247:8188/rtp/239.253.64.198:5140
浙江卫视,http://112.66.71.247:8188/rtp/239.253.64.206:5140
重庆卫视,http://112.66.71.247:8188/rtp/239.253.64.55:5140
吉林卫视,http://112.66.71.247:8188/rtp/239.253.64.57:5140
安徽卫视,http://112.66.71.247:8188/rtp/239.253.64.129:5140
黑龙江卫视,http://112.66.71.247:8188/rtp/239.253.64.205:5140
江西卫视,http://112.66.71.247:8188/rtp/239.253.64.56:5140
辽宁卫视,http://112.66.71.247:8188/rtp/239.253.64.150:5140
甘肃卫视,http://112.66.71.247:8188/rtp/239.253.64.140:5140
广西卫视,http://112.66.71.247:8188/rtp/239.253.64.45:5140
河南卫视,http://112.66.71.247:8188/rtp/239.253.64.38:5140
四川卫视,http://112.66.71.247:8188/rtp/239.253.64.36:5140
